image_name,labels,questions,answers
train_2003,agriculture bare_ground clear habitation primary road,In which part of this satellite image can signs of a road be observed?,"The road is near the bottom, leading towards the residential area. We can observe other small roads which separates small habitations like villages. "
train_2005,agriculture clear cultivation primary water,In which part of this satellite image can signs of cultivation be observed?,"The cultivation is located near the center of the image, with distinct patches of cleared land among the green forested areas."
train_2007,agriculture haze primary road,Where is the evidence of a road visible in this satellite image?,"The road runs diagonally across the middle, separating different land use areas."
train_2008,bare_ground clear habitation primary water,In which part of this satellite image can signs of water be observed?,"Water runs diagonally from the top-left to the bottom-right of the image, surrounded by light-colored, likely disturbed land. The water appears as a significant feature in the image."
train_2012,bare_ground clear,In which part of this satellite image can signs of a bare ground be observed?,"The bare ground appears as faint, light patches scattered across the image, particularly on the top and lower right side."
train_2016,clear primary water,Where is the evidence of water visible in this satellite image?,"The water is located at the top of the image, forming a large, curved section of a river that appears to cut through the forest."
train_2017,agriculture bare_ground clear habitation primary water,Can you identify where water is present in this satellite image?,"The water is located on the left side of the image, forming a narrow channel between green forested areas."
train_2018,clear cultivation primary,Where is the evidence of cultivation visible in this satellite image?,"The cultivation is situated along the top-right edge of the image, with light brown patches indicating areas of recent agricultural activity."
train_2019,agriculture clear primary road,Can you identify where a road is present in this satellite image?,"The road runs vertically from the top-right  to the bottom-right, cutting through various land plots."
train_2022,clear primary water,Which area of the satellite image shows water?,"Water is located starting the left edge stretchs thorough the bottom-right and top of the image, where a river curves sharply, creating a distinct boundary against the surrounding terrain. The reaminign part is primary dense forest."
train_2024,clear primary water,Where in this satellite image can you spot bodies of water?,"Water is visible along the right edge, where it forms a winding river that cuts through the lighter colored terrain, indicating possible mining activity."
train_2026,blooming partly_cloudy primary,Can you point out the location of the cloud in this image?,"The cloud is located at the top of the image, partially covering the dense forest below. The forest is dark green, and the cloud appears to hover over it, with some parts of the canopy still visible through the cloud's edges."
train_2027,agriculture clear habitation primary,In which part of this satellite image can signs of a habitation be observed?,"Small habitations are visible in clearings within a heavily forested area, with a few structures clustered together."
train_2028,agriculture partly_cloudy primary road water,"In this image, where can the cloud be found?","This image has clouds scattered across the scene, particularly in the middle-lower sections. The landscape below consists of a winding waterway and patches of green vegetation, with the clouds softening the view of the ground details."
