image_name,labels,questions,answers
train_0,haze primary,Provide details about the activities or features visible in the region at the center-bottom of the image.,"The image depicts primary forest. It seems that it is captured in hazy weather. In the center-bottom of the image, there is densely forest with green trees. It is diffifult to tell the exact information in this kind of hazy weather. "
train_1,agriculture clear primary water,Describe the types of land use found at the center-bottom of the image.,"From the center top  to center bottom of image shows a body of water, such as a river, or lake. "
train_2,clear primary,Describe the region located at the center of the image.,The satellite image you have provided shows an area completely covered with dense primary forest under clear skies.
train_3,clear primary,Summarize the visual content of the region in the the bottom of the image.,The requested area of satellite image you provided depicts an area entirely blanketed in dense primary forest beneath clear skies.
train_4,agriculture clear habitation primary road,Describe the runs vertically through the middle of the image,"The image shows a primary road running from the top-middle to the bottom-middle, passing through agricultural land near the bottom and primary forest at top. In the bottom, near the road, a small habitation is visible, with fields extending on left side. The right side of the road is comletely covered with densely primary forest. "
train_5,haze primary water,Create a compact narrative representing the region in the middle of the top half of the image.,"This image portrays a primary forest during a misty day. The dense green trees are prominently visible in the middle of the top half section. Also, it seems there is water way like lake or river. The haze makes it hard to see specific details."
train_6,agriculture clear cultivation primary water,Describe the region located at the bottom-left of the image. What is desribed in middle-top of the image? ,"The bottom-left of the image displays a cultivated area which is human-induced deforestation activity. Also, agriculture can be seen in middle-top of the image as well as water way like river or lake is represented in bottom-right of the image. Other part of the image is primary forest with clear weather. "
train_7,haze primary,Provide a brief description of the area in the top-right corner of the image.,The photo shows a primary forest enveloped in haze. The dense greenery of the trees is most noticeable in the top-right of the image. The hazy conditions make it difficult to identify exact details
train_8,agriculture clear cultivation primary,Provide a brief description of the area in the center of the image.,"The center of the image shows a cultivated area, indicating human-induced deforestation. Agricultural activities are visible in the middle-top section. The rest of the image consists of primary forest in the bottom with clear skies."
train_9,agriculture clear cultivation primary road,Offer a succinct explanation of the bottom-center of the image.,"The image features a main road stretching from the middle to the bottom-middle, traversing agricultural and cultivation land near the bottom. The top side of the road is entirely covered by dense primary forest."
train_10,agriculture clear primary slash_burn water,Describe the region located at the right-center of the image.,"The image illustrates slash-and-burn agriculture, a key cause of deforestation. Shifting cultivation patches show dark brown or black areas, indicating recent burns, particularly in the right-center of the image. Also, the image captured in clear weather consisting waterway, agriculture, some primary forest. "
train_12,cloudy,Describe the region located at the center of the image.,This region is mainly covered with densely clouds which makes difficult to tell the details of the image. Other parts seem to be primary forest.
train_13,clear primary,Give a short and clear explanation of the designated region in the top-right corner of the image.,"The satellite image you shared reveals not only in top-right corner region, but fully covered with dense primary forest under clear skies."
train_15,clear primary,Share a concise interpretation of the specific part of the image located at the center.,"In the satellite image you supplied, the area is completely shrouded in dense primary forest, with clear skies above"
train_16,clear primary,Present a compact description of the key features in the region at the top-center of the image.,"The area shown in the satellite image is entirely covered by dense primary forest under clear, open skies."
train_17,partly_cloudy primary,Render a clear and concise summary of the center-top of the image.,"The image captures a primary forest under a mix of partly cloudy weather and clear skies. Some clouds are visible in the top-center of the image, illustrating elements of partly_cloudy and primary."
train_19,agriculture clear primary road,Summarize the visual content of the region in the top-left corner of the image.,"A primary road runs from the top-right to the bottom-center of the image, splitting into two sections near the middle, cutting through agricultural areas. The middle-right side of the this satellite image has  a small area covered trees. Other whole part is entirely human activity, seemed to be used for agricultural purposes."
train_21,clear primary road water,"Explain the characteristics of the land cover in the designated area at the top-left corner of the image.""","A body of water, possibly a river or lake, runs from the top-left corner to the bottom-right corner of the image. The image is captured in clear weather, other part covered with primary forest. "
train_22,partly_cloudy primary,Write a terse but informative summary of the marked area at the center-left of the image.,"This picture depicts a primary forest with a combination of clear skies and some clouds. The clouds are located in the left-center, and the image highlights elements of partly_cloudy and primary forest."
train_23,agriculture clear primary road,Give a short and clear explanation of the designated region in the right-middle area of the image.,"In the image, a main road extends from the top-right to the middle, passing through farmland near the bottom and primary forest near the top, drawing a 3 sided rectangular shape. The most of the land is covered with the area used for agricultural human activity which drives the deforestation in the given stellite image. "
train_24,conventional_mine partly_cloudy primary,Create a compact narrative representing the region in the left of the top half of the image. Describe other parts as well. ,"This photograph portrays a primary forest with both clear skies and scattered clouds. The left of the top half area of the image features some clouds, indicating partly_cloudy and primary elements. Conventional mining activity lays in right side of the image covering around 65 percent of the image."
train_26,cloudy,Provide a brief description of the area in the top-right corner of the image.,"Dense clouds dominate this region, making it hard to discern image details. "
train_27,agriculture partly_cloudy primary water,Identify and describe the classes present in the center and  right-center of the image.,"The scene shows a primary forest under partially cloudy, most part of water way, partial agirculture activity and clear skies. Clouds are seen in the top-right, combining the elements of partly_cloudy, water, agriculture and primary forest."
train_30,clear primary water,Provide details about the activities or features visible in the region at the top half of the image.,"The image shows a water body, possibly a river or lake, flowing in top-half of the image. The remaining bottom-left area is primary forest, captured under clear weather conditions."
train_31,clear cultivation primary,Offer a succinct explanation of the top-right and top-left of the image.,"In the top-right and the top-left of the image, there is a cultivated regions representing human-induced deforestation. The remaining area is primary forest with clear weather conditions."
train_33,agriculture cultivation partly_cloudy primary,Summarize the visual content of the region in the top-right corner of the image.,The image features a cultivated area and agricultural fields in the bottom-left. The rest of the scene is primary forest with clear skies and partial cloudy weather.
train_40,agriculture clear cultivation primary,Describe the types of land use found at the top and middle-bottom of the image.,"At the top of the image, there's a  wide cultivated area and agriculture activity showing human-induced deforestation. Aslo, the middle-bottom shows agricultural activity. The other parts are primary forest with clear weather. The most part of the image represents deforestation. "
train_43,bare_ground haze,Identify and describe the classes present in the bottom-right corner of the image,"In this hazy weather image, a bare-gorund is depicted. The haze limits the visibility of precise details"
train_46,bare_ground clear habitation primary,Write informative summary of the marked area at the center of the image.,"The image depicts an area dominated by bare ground with minimal vegetation, suggesting a landscape that has been cleared or naturally lacks dense cover. In the upper-right corner, there is a small habitation visible, indicating some human presence or activity in this otherwise open area. The rest of the scene appears mostly barren, with no significant signs of primary forest or natural vegetation, highlighting the stark contrast between the habitation and the surrounding bare ground. The clear conditions allow for a clear view of the landscape, emphasizing the sparsity of natural cover."
train_47,clear primary water,Identify and describe the elements visible laying from the top-left corner to middle-bottom of the image.,"From the top-left to the bottom-middle corner, a body of water, potentially a river or lake, cuts through the image. The other parts are covered with primary forest, and the weather is clear."
train_50,cloudy,Offer a succinct explanation of the bottom-center of the image.,"This area is mainly shrouded in thick clouds, which obscure the satelllite image's details."
